,dataset,metric,K,BPR_none,BPR_full,BPR_ui,BPR_anchor,LightGCN_none,LightGCN_full,LightGCN_ui,LightGCN_anchor,LRGCCF_none,LRGCCF_full,LRGCCF_ui,LRGCCF_anchor,DirectAU_none,SimpleX_none,NCL_none
0,amazon-magazine-subscriptions-18,recall,20,0.2917,0.4276,0.4046,0.3517,0.3848,0.4116,0.426,0.411,0.3674,0.4536,0.4261,0.3435,0.4076,0.4175,0.378
1,amazon-magazine-subscriptions-18,recall,50,0.3491,0.5038,0.4676,0.4471,0.4451,0.4954,0.5091,0.4962,0.4251,0.5382,0.4969,0.4478,0.4684,0.5006,0.4401
2,amazon-magazine-subscriptions-18,recall,100,0.3884,0.574,0.5326,0.5394,0.5008,0.5805,0.577,0.5713,0.4806,0.6071,0.5608,0.5038,0.5388,0.5808,0.5102
3,amazon-magazine-subscriptions-18,ndcg,20,0.1827,0.3437,0.3349,0.2039,0.3036,0.3289,0.3395,0.3203,0.2793,0.3484,0.3496,0.2032,0.3342,0.3411,0.2944
4,amazon-magazine-subscriptions-18,ndcg,50,0.1944,0.3588,0.3474,0.2227,0.3156,0.3453,0.356,0.3371,0.2907,0.3652,0.3636,0.2237,0.3462,0.3575,0.3067
5,amazon-magazine-subscriptions-18,ndcg,100,0.2007,0.3702,0.3579,0.2377,0.3246,0.3591,0.3671,0.3493,0.2996,0.3764,0.374,0.2329,0.3576,0.3704,0.318
