BPR,full,0.0455,0.2508,0.3708,0.4569,0.5681,0.7263,0.3489,0.4817,0.4892,0.4904,0.4913,0.4917,0.3489,0.2904,0.3108,0.336,0.3733,0.4246,0.3489,0.7869,0.8971,0.9279,0.9586,0.9862,0.3489,0.1998,0.1533,0.1287,0.0983,0.0655
LightGCN,full,0.0533,0.2628,0.3848,0.4738,0.5748,0.7351,0.3775,0.5057,0.5121,0.5136,0.5142,0.5146,0.3775,0.3097,0.3287,0.3537,0.3881,0.4404,0.3775,0.8102,0.9003,0.9364,0.9629,0.9873,0.3775,0.211,0.1602,0.1338,0.1013,0.0672
LightGCN,none,0.0503,0.2594,0.3809,0.4624,0.57,0.7322,0.368,0.4987,0.5049,0.5064,0.507,0.5074,0.368,0.3029,0.3228,0.3454,0.3817,0.4346,0.368,0.8091,0.8993,0.9374,0.9618,0.9873,0.368,0.2052,0.1573,0.1303,0.0996,0.0666
LightGCN,ui,0.0561,0.2618,0.3902,0.4727,0.5897,0.7314,0.3775,0.5076,0.5141,0.5158,0.5166,0.5168,0.3775,0.309,0.3328,0.356,0.3949,0.4435,0.3775,0.8091,0.8971,0.9374,0.9682,0.9841,0.3775,0.2091,0.1615,0.1333,0.1022,0.0676
LightGCN,anchor,0.049,0.2615,0.3916,0.4691,0.5801,0.7402,0.368,0.5016,0.5078,0.5089,0.5097,0.5101,0.368,0.3056,0.3286,0.3504,0.3875,0.4399,0.368,0.8144,0.9024,0.9311,0.9608,0.9883,0.368,0.2099,0.1614,0.1327,0.101,0.0673
